Date,Open,High,Low,Close,Adj Close,Volume,Percentage Change
2023-06-13,136.509995,138.169998,136.000000,137.600006,134.509064,3927300,0.80
2023-06-14,137.800003,138.929993,136.940002,137.199997,134.118042,4514900,-0.44
2023-06-15,137.270004,138.800003,137.179993,138.399994,135.291092,3812600,0.82
2023-06-16,139.229996,139.470001,137.470001,137.479996,134.391754,7473100,-1.26
2023-06-20,136.360001,137.229996,135.889999,135.960007,132.905899,4271300,-0.29
2023-06-21,135.110001,135.389999,133.289993,133.690002,130.686905,5501300,-1.05
2023-06-22,131.679993,132.960007,130.679993,131.169998,128.223495,6012800,-0.39
2023-06-23,130.399994,130.619995,129.179993,129.429993,126.522575,11324700,-0.74
2023-06-26,129.389999,131.410004,129.309998,131.339996,128.389679,4845600,1.51
2023-06-27,131.300003,132.949997,130.830002,132.339996,129.367203,3219900,0.79
2023-06-28,132.059998,132.169998,130.910004,131.759995,128.800247,2753800,-0.23
2023-06-29,131.750000,134.350006,131.690002,134.059998,131.048584,3639800,1.75
2023-06-30,134.690002,135.029999,133.429993,133.809998,130.804184,4236400,-0.65
2023-07-03,133.419998,134.350006,132.869995,133.669998,130.667328,1477100,0.19
2023-07-05,133.320007,134.309998,132.589996,134.240005,131.224533,2955100,0.69
2023-07-06,133.240005,133.899994,131.550003,132.160004,129.191254,3507700,-0.81
2023-07-07,131.779999,133.850006,131.750000,132.080002,129.113052,2982400,0.23
2023-07-10,131.759995,133.050003,131.699997,132.899994,129.914642,2369200,0.87
2023-07-11,133.660004,134.559998,133.229996,134.440002,131.420044,2925200,0.58
2023-07-12,135.070007,135.330002,132.570007,132.839996,129.855972,3732200,-1.65
2023-07-13,133.509995,135.070007,133.360001,133.919998,130.911728,3221400,0.31
2023-07-14,133.910004,133.919998,132.940002,133.399994,130.403397,2860700,-0.38
2023-07-17,133.259995,134.610001,133.100006,134.240005,131.224533,3167400,0.74
2023-07-18,134.710007,135.949997,134.289993,135.360001,132.319366,3852100,0.48
2023-07-19,135.529999,136.449997,135.190002,135.479996,132.436676,5520000,-0.04
2023-07-20,137.190002,140.320007,136.559998,138.380005,135.271545,10896300,0.87
2023-07-21,138.210007,139.779999,137.759995,138.940002,135.818954,5858600,0.53
2023-07-24,139.350006,140.119995,138.779999,139.539993,136.405472,3475200,0.14
2023-07-25,139.419998,140.429993,139.039993,140.330002,137.177734,3770800,0.65
2023-07-26,140.440002,141.250000,139.880005,141.070007,137.901123,4046400,0.45
2023-07-27,142.300003,143.380005,141.899994,142.970001,139.758423,6331600,0.47
2023-07-28,143.440002,143.949997,142.850006,143.449997,140.227646,6686400,0.01
2023-07-31,143.809998,144.600006,143.529999,144.179993,140.941238,6138100,0.26
